2026-03-20 14:45:07 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-20 14:54:50 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-20 17:08:43 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-20 17:29:57 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-20 17:30:21 | INFO    | __main__ | Saved 50000 samples to data\raw\sentiment140_50k.parquet
2026-03-20 19:34:15 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-20 19:34:34 | INFO    | __main__ | Saved 50000 samples to data\raw\sentiment140_50k.parquet
2026-03-21 16:07:22 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-21 16:07:38 | INFO    | __main__ | Saved 50000 samples to data\raw\sentiment140_50k.parquet
2026-03-21 16:23:10 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-21 16:23:30 | INFO    | __main__ | Saved 50000 samples to data\raw\sentiment140_50k.parquet
2026-03-21 16:24:39 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-21 16:24:55 | INFO    | __main__ | Saved 500 samples to data\raw\sentiment140_500.parquet
2026-03-21 16:30:09 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-21 16:30:26 | INFO    | __main__ | Saved 500 samples to data\raw\sentiment140_500.parquet
2026-03-21 16:32:15 | INFO    | __main__ | Downloading sentiment140 dataset...
2026-03-21 16:32:29 | INFO    | __main__ | Saved 500 samples to data\raw\sentiment140_500.parquet
