2026-03-20 17:56:14 | INFO    | __main__ | Data validation PASSED: 50000 rows,dist: {'0': 0.5019, '4': 0.4981}
2026-03-20 19:34:39 | INFO    | __main__ | Data validation PASSED: 50000 rows,dist: {'0': 0.5019, '4': 0.4981}
2026-03-20 20:06:17 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-20 20:06:17 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-20 20:06:17 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-20 20:08:39 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 594 (99.0%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 594 (99.0%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 594 (99.0%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-20 20:08:40 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 594 (99.0%)']
2026-03-20 20:10:22 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-20 20:10:22 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-20 20:10:22 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-20 20:10:22 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-20 20:10:22 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-20 20:10:22 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-20 20:10:22 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:14:52 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:14:52 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:14:52 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:14:52 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-21 16:14:52 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-21 16:14:52 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-21 16:14:52 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:23:33 | INFO    | __main__ | Data validation PASSED: 50000 rows,dist: {'0': 0.5019, '4': 0.4981}
2026-03-21 16:32:33 | INFO    | __main__ | Data validation PASSED: 500 rows,dist: {'0': 0.514, '4': 0.486}
2026-03-21 16:38:38 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:38:38 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:38:38 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-21 16:38:39 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-21 16:38:39 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-21 16:38:39 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-21 16:38:39 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-26 13:20:11 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-26 13:20:11 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-26 13:20:11 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
2026-03-26 13:20:11 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Found 500 null text entries.', 'Too many duplicates: 997 (99.7%)']
2026-03-26 13:20:11 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ["Label '0' is severely underrepresented: 5.0% ", 'Too many duplicates: 999 (99.9%)']
2026-03-26 13:20:11 | ERROR   | src.data.validate | DATA VALIDATION FAILED: ['Too many duplicates: 999 (99.9%)']
2026-03-26 13:20:11 | INFO    | src.data.validate | Data validation PASSED: 600 rows,dist: {'4': 0.5, '0': 0.5}
